Unnamed: 0,review_text,review_rating,author_id,author_name,author_app_version,review_datetime_utc,review_likes
287788,Great,5,110735*********328378,A Google user,2.60.08,2020-09-30T08:38:25.000Z,0
334506,good aps,2,102522*********020376,A Google user,,2020-12-01T23:45:13.000Z,0
561273,"I love Shoppee, the Best...",5,117354*********262076,A Google user,2.63.29,2021-12-08T13:35:43.000Z,0
182548,Just keep it up Shopee👍👍👍 I have no problem in every transactions I've been made..hoping no problem at all!! 👍👍👍👍👍,5,112097*********049999,A Google user,2.54.30,2020-05-09T10:38:56.000Z,0
436487,Salamat shopee!!!,5,113812*********873332,A Google user,2.70.10,2021-05-05T02:42:47.000Z,0
204404,Its very very thankful sa shoppe Thank you for help to all people,5,116542*********391339,A Google user,,2020-06-04T09:59:41.000Z,0
689296,Fast delivery,5,107336*********934610,A Google user,2.92.24,2022-09-24T01:02:19.000Z,0
670231,"Poor, wont let me press the back button it lags and hangs alot.",1,111776*********232193,A Google user,2.90.24,2022-07-25T06:48:28.000Z,0
426987,👍,5,100085*********382679,A Google user,2.69.20,2021-04-18T20:50:09.000Z,0
531384,Nice wohoooo,5,110887*********310067,A Google user,,2021-10-15T04:23:54.000Z,0
6322,Easy to buy and affordable,5,108025*********156817,A Google user,2.13.26,2017-09-23T03:55:46.000Z,0
721626,Just a satisfied costumer in shopee 😁🥰,5,109594*********028996,A Google user,2.96.29,2023-01-22T06:30:12.000Z,0
125883,Excellent,5,108058*********306907,A Google user,2.48.15,2019-12-21T22:32:54.000Z,0
707187,Quality,5,113955*********562628,A Google user,,2022-11-21T09:42:51.000Z,0
746753,Very clear and usable thank you shoppee,5,106303*********379234,A Google user,,2023-06-23T10:17:52.000Z,0
773484,Satisfied,5,106384*********894522,A Google user,3.11.07,2023-10-13T00:46:31.000Z,1
717918,👍👍👍,4,100330*********532211,A Google user,2.96.27,2023-01-06T07:02:09.000Z,0
471585,Amazing,1,100329*********749546,A Google user,,2021-07-01T00:13:23.000Z,0
314011,Very reliable,5,114979*********296458,A Google user,2.62.08,2020-11-07T10:43:25.000Z,0
729328,r ♐♐♏⛎🚻 😆😡32😆😆🐃32⅝hb hmmkin<ï7🐃🐃🐂🐂😡😆686🐂22😆😆😆😆😡😡,2,109168*********786436,A Google user,2.98.30,2023-03-04T06:51:50.000Z,0
660281,Ok,5,117190*********862713,A Google user,2.89.22,2022-06-27T02:00:38.000Z,0
563072,Its ok.but first time ko to,5,105243*********219006,A Google user,,2021-12-11T19:12:30.000Z,0
160858,I enjoy shoppinq on this shop so many deals and vouchers . Items in low prices .. So excitinq 😇😊,5,111956*********673563,A Google user,2.51.60,2020-03-03T08:56:54.000Z,0
763425,Too many adds,1,117813*********230753,A Google user,3.08.09,2023-09-03T23:32:50.000Z,0
25360,No Comment,5,104918*********049455,A Google user,2.27.10,2018-11-01T21:13:49.000Z,0
133904,Happy and satisfied customer,5,105886*********248201,A Google user,,2020-01-07T21:38:13.000Z,0
770776,😍,3,114345*********217846,A Google user,3.10.06,2023-10-02T02:38:12.000Z,0
268684,Excellent app.,5,113134*********332506,A Google user,2.60.08,2020-09-02T07:08:53.000Z,0
443852,Excellent 😊🥰😍,5,108842*********018512,A Google user,2.70.12,2021-05-17T04:54:47.000Z,0
567578,"This is the 5th time na umorder ako and nakaka disappoint ng sobra, consistent na maaga naidedeliver saken mga parcel ko madalas pa nga ahead of time, kaka order lng nasa labas na kinabukasan pero anyare? Bat ngaun 3 beses na unsuccessful ung delivery? And hindi lng isa, bkt tatlo If you think what you're doing is your best then think again",1,116228*********931168,A Google user,2.81.04,2021-12-17T11:15:32.000Z,0
537129,Very interesting,5,110002*********943820,A Google user,2.71.20,2021-10-24T13:25:48.000Z,0
208065,Super satisfied..ang dami kong coins lagi nagagamit ko pa for every tranaction ...very good shopee❤👍,5,111579*********659703,A Google user,2.56.05,2020-06-07T21:41:01.000Z,0
49932,the best,5,114439*********286433,A Google user,,2019-07-07T10:28:06.000Z,0
650491,Isa nalang pwedeng gamiting voucher,1,114456*********595725,A Google user,2.87.40,2022-06-05T15:33:33.000Z,0
249632,Good,5,101729*********372456,A Google user,2.58.20,2020-08-07T12:11:19.000Z,0
692631,Ina nyo!!!,1,115227*********732819,A Google user,2.93.17,2022-09-29T08:42:33.000Z,0
186533,"Easy to use, lots of payment options, legitimate sellers.",5,110628*********440599,A Google user,,2020-05-14T11:33:45.000Z,0
53840,shopie ok lng po ba mag register kahit wala postal id.,4,105358*********580250,A Google user,2.42.20,2019-08-10T13:00:04.000Z,0
583197,Happy enjoy exiting,5,102575*********976950,A Google user,2.81.31,2022-01-11T11:44:05.000Z,0
444059,I like this app.very easy to use 👍👍,3,100588*********622566,A Google user,,2021-05-17T10:44:11.000Z,0
341750,Super convenient interms of shopping ❤️,5,101714*********822781,A Google user,2.63.19,2020-12-10T06:19:25.000Z,0
643692,Highly recommended online shopping app ❤❤❤,5,102827*********168657,A Google user,2.87.40,2022-05-19T02:28:10.000Z,0
738070,Okay affordable,5,113022*********296692,A Google user,,2023-05-01T06:40:03.000Z,0
756897,Can you please stop sending ads! It's so annoying!!!!😡,1,112085*********026512,A Google user,2.94.25,2023-08-12T03:25:11.000Z,0
452110,I love it,5,118236*********943914,A Google user,2.56.22,2021-06-02T04:56:30.000Z,0
647084,Love it,5,113438*********802953,A Google user,2.87.40,2022-05-28T08:19:02.000Z,0
567903,Noice app,5,102785*********923606,A Google user,,2021-12-18T03:05:25.000Z,0
689738,Excellent service from the agent except in some sellers ✨❤️,5,113591*********272982,A Google user,,2022-09-26T03:00:29.000Z,0
746261,Ok,3,105074*********463092,A Google user,3.03.10,2023-06-20T11:12:53.000Z,0
767985,i love shoppee 👌❤️,5,117475*********599987,A Google user,3.08.09,2023-09-19T14:28:21.000Z,0
446422,Excellent,5,117388*********059289,A Google user,2.70.11,2021-05-21T07:58:17.000Z,0
251487,Super hard to sign in,1,112106*********104757,A Google user,2.59.10,2020-08-09T10:19:17.000Z,0
305177,Yes na recieve qo na din ang inorder kong keyboard at ok nman mganda siya at gumagana nman kaya i gave 5 star.thank Din kay kuya na nag deliver thank sa shopee,5,102064*********263228,A Google user,2.61.11,2020-10-26T04:14:35.000Z,0
191034,So far all is good hope i will not encounter problem from shopee.... Thank you.,3,105819*********949354,A Google user,2.55.08,2020-05-20T06:55:09.000Z,0
508924,I love shopping in Shopee💯💖,5,110458*********288222,A Google user,2.75.62,2021-09-04T00:32:25.000Z,0
490429,Good app.,5,113841*********883510,A Google user,2.74.17,2021-08-01T13:22:41.000Z,0
365028,Inaccurate sizes in clothes i received.3XL but 1XLl actual fit and does not even fit me and now what do i do?,3,103321*********199742,A Google user,2.64.13,2021-01-07T11:05:47.000Z,0
147901,2x na ako naka order sa shopee... exactly time & date ang delivery nila 5 star kau for me tnx shopee,5,103195*********969090,A Google user,2.49.20,2020-02-07T02:49:57.000Z,0
615869,The best. User friendly. Lots of promos. Legit items,5,101778*********941683,A Google user,,2022-03-17T09:36:48.000Z,0
528870,Nakakaadik ampota,5,118292*********584962,A Google user,2.77.32,2021-10-11T08:42:20.000Z,0
414610,I love shoppe my sister and i are very pleased with our deliveries,5,115386*********310837,A Google user,,2021-03-29T01:36:24.000Z,0
642358,My item was not delivered it is confirm WHY IS THIS HAPPEN,5,101137*********326684,A Google user,2.64.13,2022-05-15T13:39:34.000Z,0
735755,"Shoppe can be a convenient app but at the same time it can be frustrating, I don't like how you can't edit your review on products after you confirm receiving the order which makes it hard to figure out if the item was effective or not when I read the comments. Sometimes the app doesn't function or if it does, it becomes laggy. I hope there will be updates and improvements on the app.",3,112390*********888706,A Google user,3.00.09,2023-04-15T15:26:47.000Z,153
185441,I. Love shopee .,5,109606*********039722,A Google user,2.54.30,2020-05-13T09:43:23.000Z,0
333275,"Easy to use hindi na kelangan lumabas ng bahay para umorder, kaso mag hihintay kalang pero ok lang yon sanay nanamn sa hintayan sa daming beses nang naka order.",5,102829*********707951,A Google user,2.62.30,2020-11-30T09:40:23.000Z,0
754658,Good experience,5,110057*********701477,A Google user,3.06.12,2023-08-03T02:48:14.000Z,0
230909,A Very Good Online Shopping App👍,5,117623*********797916,A Google user,2.57.10,2020-07-12T06:03:11.000Z,0
49097,Very convenient to buy things online.,5,104023*********249408,A Google user,2.38.18,2019-07-01T01:44:25.000Z,0
765099,Mg dahil sa nakakahiyang notification no vice ganda inun install ko na si shoppee ka irita nag papatug tog ako ng mapakas mag notif bigla ung kabayo,1,101607*********285965,A Google user,3.08.11,2023-09-09T08:17:24.000Z,0
495443,Da best,5,105842*********921605,A Google user,2.69.21,2021-08-10T04:58:09.000Z,0
394033,I love it,5,105300*********297105,A Google user,,2021-02-23T04:30:58.000Z,0
761124,Good,4,111361*********598745,A Google user,2.97.14,2023-08-27T07:39:43.000Z,0
311132,Nice shopping app,5,116981*********470854,A Google user,,2020-11-03T22:08:14.000Z,0
175804,Amazing,5,106154*********146101,Mi************o,2.54.16,2020-04-29T11:15:44.000Z,0
543425,"very slow loading and mostly not loading at all, annoying to see selling out items keep appearing at the bottom forever.",1,102228*********218790,A Google user,2.79.09,2021-11-07T00:01:57.000Z,0
513158,Ok lang,5,114134*********837962,A Google user,,2021-09-11T15:53:08.000Z,0
430903,Uninstalled and switched to Lazada. I'm sick and tired of seeing Jose Mari Chan every year and every holiday. ☹️ You also took the overrated Kris Aquino. Seeing them sing and dance makes me puke and skip the ads. Your ad team has a very poor taste.,1,115842*********811092,A Google user,2.60.08,2021-04-25T14:02:07.000Z,0
74002,I enjoy shopping... Much lesser than physical stores.,5,102778*********679704,A Google user,2.44.25,2019-10-17T01:58:01.000Z,0
25853,Satiesfied,5,111299*********159180,A Google user,2.29.11,2018-11-05T23:11:54.000Z,0
341567,Good service,1,100157*********088953,A Google user,2.62.10,2020-12-10T02:58:10.000Z,0
105810,"Ang kinaganda talaga netong shopee, ay ang "" Free Shippong Voucher "", ang pinaka main problem lang ung sa "" Refund "", napupunta sa "" Seller Wallet "" kahit di ka naman "" Seller "" . Ang mangyayari, mapipilitan ka pang magpagawa ng ATM Account para lang ma withdraw ung pera na na refund sa account mo. Please more Improvement, un lang.",3,107113*********859990,A Google user,2.47.10,2019-11-26T09:08:00.000Z,0
109371,Wow,5,101633*********047953,A Google user,2.47.31,2019-12-01T12:00:31.000Z,0
581611,Excellent,5,115655*********590471,A Google user,2.81.30,2022-01-08T17:27:01.000Z,0
254886,Good,3,101383*********968557,A Google user,,2020-08-13T12:47:47.000Z,0
